year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,72328047042.1588,1380.30624126257,,584299.78,10.361014667328,25.6713668249132,34.8561609863247,26.1142209310565,0.535343909094523,52400000,17.5,11.5,1661888,0.346128869787339,71.1268292682927,,,,,
1961,76694360635.9159,1452.54470901356,,588938.535,10.5999534225471,25.3757546443095,36.190680926533,25.0497124738002,0.631569418030263,52800000,17.9,12,,0.760459938521921,70.8780487804878,,,,,
1962,80601939635.2483,1513.65144854926,,593360.937,10.0912955606662,24.4529235486793,37.0043208585964,25.4425395497944,0.787687006207263,53250000,18.3,11.9,,0.848661387731873,70.9268292682927,,,,,
1963,85443766670.4279,1592.61447661562,,603822.888,9.80597975146446,24.0950800799106,37.9897064300951,24.9619070192666,1.13262088466181,53650000,18.5,12.2,,0.748366448717305,70.8268292682927,,,,,
1964,93387598813.9269,1729.39997803568,,608355.3,9.9571661680718,25.1019853141148,38.8615039434321,22.8719064454719,1.4039629929676,54000000,18.8,11.3,,0.650257748756685,71.6243902439024,,,,,
1965,100595782309.165,1850.95476855498,,622619.93,9.76421451985956,25.6452069154866,39.046874220011,21.5235369485998,2.37812850672531,54348050,18.3,11.6,2541943,0.642468779443559,71.6243902439024,,,,,
1966,107090721447.057,1959.62782962126,,618564.228,10.0605727817149,25.7254148291779,40.2731780977058,19.7556497417506,3.10669838477427,54648500,17.9,11.8,,0.55130324946533,71.5731707317073,,,,,
1967,111185383409.521,2023.62756371118,,592517.527,10.4614050303556,27.3408499566349,39.7103209019948,18.2983521248916,3.50501621579617,54943600,17.5,11.2,,0.538543769542258,72.1243902439024,,,,,
1968,104702736248.084,1896.38674860735,,606969.174,10.7356345668774,28.514909643758,38.3141563871324,18.0937078884627,3.7919875880673,55211700,17.2,11.9,,0.486768279639266,71.7243902439025,,,,,
1969,112676874821.987,2032.34700964503,,628857.497,10.7289613470083,27.7603314068085,39.6168108776267,17.5842715397722,3.98859161102341,55441750,16.6,11.9,,0.415803269484986,71.7219512195122,,,,,
1970,130671946244.3,2347.54431773747,2440,653063.364,11.5146232810382,26.775453547679,40.8935373490865,18.0595906772548,3.49302452737768,55663250,16.2,11.8,2945896,0.39872245794476,71.9731707317073,,,,,
1971,148113896325.14,2649.80151387223,2720,660863.073,11.866344605475,25.1755233494364,43.0660225442834,17.2302737520129,3.57872922862453,55896223,16.1,11.5,,0.417666617474017,72.2731707317073,,98.1080322265625,76.5011367797852,14.5635499954224,5.03205013275146
